artist,genre
Drake,rap
G-Eazy,Unknown
Snoop Dogg,g-funk
Migos,trap
Tyga,Unknown
The Weeknd,Unknown
Kehlani,Unknown
Era Istrefi,Unknown
Rahat Fateh Ali Khan,sufi
Salim–Sulaiman,bollywood
Post Malone,Unknown
Kanye West,rap
Ty Dolla $ign,Unknown
Kendrick Lamar,hip hop
The Mayries,bedroom pop
Imran Khan,bhangra
Jal,Unknown
Abdullah Qureshi,sufi
Sajjad Ali,ghazal
Nabeel Shaukat Ali,sufi
Mehdi Maloof,indian indie
Saakin,sufi
Strings,desi pop
Call,hindi indie
Kaavish,hindi indie
Bayaan,indian indie
Dr Zeus,bhangra
Rouge,bhangra
Jazzy B,bhangra
Sukhbir,bhangra
Jay Sean,Unknown
Bombay Rockers,desi pop
Rishi Rich,bhangra
Juggy D,bhangra
"RDB feat. Manjeet Singh, MC Metz & MC Trix",desi hip hop
21 Savage,Unknown
DJ Khaled,Unknown
London On Da Track,Unknown
Ella Mai,r&b
Tory Lanez,Unknown
Mustard,Unknown
Summer Walker,r&b
Rick Ross,southern hip hop
Rishabh,Unknown
Atif Aslam,bollywood
Mithoon,bollywood
Little Mix,Unknown
Steve James,Unknown
Backstreet Boys,Unknown
Jesse McCartney,Unknown
Bella Thorne,Unknown
Conor Maynard,Unknown
Maroon 5,pop
Twenty One Pilots,Unknown
Imagine Dragons,Unknown
Panic! At The Disco,emo
Highly Suspect,modern rock
Bohnes,Unknown
Weathers,Unknown
Sleeping With Sirens,emo
Fearless Soul,Unknown
Pritam,bollywood
Nusrat Fateh Ali Khan,qawwali
The Chainsmokers,Unknown
Dua Lipa,pop
Landon Austin,acoustic pop
Camila Cabello,pop
Jason Derulo,Unknown
David Guetta,edm
MEDUZA,Unknown
Selena Gomez,pop
Khalid,qawwali
AP Dhillon,punjabi hip hop
King,desi hip hop
Caps,desi
AFKAP,desi hip hop
Bali,desi hip hop
Gajendra Verma,hindi pop
VIBIE,lo-fi
Vilen,hindi indie
Harry Styles,Unknown
Ritviz,indian indie
Ajey Nagar (CarryMinati),hindi hip hop
DIVINE,hindi hip hop
KR$NA,desi hip hop
Dino James,hindi hip hop
Arijit Singh,hindi pop
The Neighbourhood,Unknown
Bruno Mars,Unknown
Shankar-Ehsaan-Loy,bollywood
A.R. Rahman,tamil pop
One Direction,Unknown
Varinder Brar,punjabi hip hop
Farhan Akhtar,bollywood
Salman Ali,sufi
Altamash Faridi,bollywood
Sanam,sufi
Adnan Dhool,qawwali
Javed-Mohsin,bollywood
Badshah,bollywood
Mohammed Irfan,hindi pop
Alka Yagnik,bollywood
Vishal Dadlani,bollywood
Shamoon Ismail,indian indie
Talha Anjum,desi hip hop
The Kid LAROI,Unknown
24kGoldn,Unknown
Hemant Kumar,bangla pop
Himesh Reshammiya,bollywood
Asim Azhar,desi
KK,bollywood
Danny Zee,indian indie
B Praak,hindi pop
Vdj Iqra,desi hip hop
Ed Sheeran,soft pop
Witt Lowry,Unknown
Gurnam Bhullar,bhangra
Jeet Gannguli,bangla pop
Dream Note,indian indie
Johnny Orlando,Unknown
Dream,qawwali
Ali Gatie,Unknown
Justin Bieber,Unknown
DaBaby,Unknown
Clean Bandit,Unknown
Sidhu Moose Wala,punjabi hip hop
Guru Randhawa,bhangra
Kumar Sanu,bollywood
Jaspinder Narula,bollywood
Abhijeet,bollywood
Sonu Nigam,kannada pop
Udit Narayan,bollywood
Nadeem Shravan,Unknown
Vishal-Shekhar,bollywood
Bohemia,punjabi hip hop
Prem Dhillon,punjabi pop
Young Stunners,desi hip hop
Talhah Yunus,desi hip hop
BTS,k-pop
Param Singh,punjabi pop
Loka,hindi hip hop
Karma,desi hip hop
Hasan Raheem,indian indie
MC Altaf,desi hip hop
Dhruv Sthetick,desi hip hop
Ikka,desi hip hop
Fotty Seven,desi hip hop
Sunny Khan Durrani,desi hip hop
Sez on the Beat,desi hip hop
Karan Randhawa,punjabi pop
Parmish Verma,punjabi pop
Chani Nattan,punjabi hip hop
Nucleya,indian indie
Prem & Hardeep,desi pop
Rixton,Unknown
Ariana Grande,pop
Annural Khalid,indian indie
Jokhay,desi hip hop
Rap Demon,desi hip hop
Faris Shafi,desi hip hop
Abida Parveen,sufi
Tanishk Bagchi,bollywood
Trevor Daniel,Unknown
Travis Scott,rap
JJ47,desi hip hop
Fareed Ayaz Abu Muhammad Qawwal,qawwali
HRVY,Unknown
Meet Bros.,bollywood
Talal Qureshi,indian indie
Mustafa Zahid,bollywood
Sadiq Hussain,qawwali
Ali Zafar,qawwali
Yo Yo Honey Singh,bollywood
Kshitij Tarey,sufi
Shafqat Amanat Ali,bollywood
The Bilz & Kashif,Unknown
Bilal Saeed,punjabi pop
Vicky Singh,Unknown
Sehar Gul Khan,qawwali
Jubin Nautiyal,bhajan
Charlie Puth,soft pop
Abeer Arora,desi pop
Sachin-Jigar,gujarati pop
Shreya Ghoshal,bollywood
The Script,Unknown
Ami Mishra,bollywood
Shrey Singhal,Unknown
Becky G,reggaeton
Amaal Mallik,bollywood
Jasleen Royal,hindi pop
Greg Laswell,Unknown
Enrique Iglesias,latin pop
Aima Baig,desi
Rajat Nagpal,hindi pop
Sachet Tandon,bhajan
Akhil Sachdeva,hindi pop
Vishal Mishra,hindi pop
ZAYN,Unknown
Bazzi,Unknown
CJ,Unknown
DJ Snake,Unknown
Cheat Codes,Unknown
SoFaygo,rage rap
Nick Jonas,Unknown
French Montana,Unknown
Anupam Roy,bangla pop
Pink Sweat$,Unknown
FILV,Unknown
SLAP HOUSE MAFIA,slap house
Sahir Ali Bagga,sufi
Ali Sethi,ghazal
Wiz Khalifa,rap
Kun Faya Kun,indian indie
Noori,sufi
Morgan Saint,Unknown
mgk,Unknown
phem,Unknown
Paulz,Unknown
Lata Mangeshkar,ghazal
Serena,Unknown
Arizona Zervas,Unknown
Tulsi Kumar,bollywood
Amit Trivedi,bollywood
Demi Lovato,Unknown
5 Seconds of Summer,Unknown
Aarsh Benipal,punjabi pop
Coolio,west coast hip hop
Adnan Sami,sufi
Taylor Swift,Unknown
iann dior,melodic rap
Saad Sultan,sufi
【kirash】,Unknown
Swedish House Mafia,edm
Gurinder Gill,punjabi hip hop
Maninder Buttar,punjabi pop
Zaeden,indian indie
Bharatt-Saurabh,tollywood
Neeti Mohan,bollywood
Olivia Rodrigo,Unknown
Ellie Goulding,Unknown
Tate McRae,Unknown
Shaan,bollywood
Coldplay,Unknown
Bryson Tiller,r&b
Nirmal Roy,Unknown
Shiraz Uppal,qawwali
R. City,Unknown
Akhil,punjabi pop
Adele,soft pop
Bilal Khan,desi
Yashal Shahid,sufi
Nandini Srikar,bollywood
Mustehsan Khan,Unknown
Quratulain Balouch,sufi
Ram Sampath,bollywood
Amanat Ali,bollywood
Nadeem Sarwar,qawwali
Shuja Haider,sufi
Silk Route,desi pop
Sona Mohapatra,bollywood
Liam Payne,Unknown
Lil Nas X,Unknown
Rarin,Unknown
Lukas Graham,Unknown
Arko,hindi pop
Benny Dayal,bollywood
Rashid Ali,bollywood
JalRaj,hindi indie
Roop Kumar Rathod,bollywood
Kailash Kher,sufi
Stebin Ben,hindi pop
Arjun Kanungo,hindi pop
Anuv Jain,indian indie
Mohit Chauhan,bollywood
Shruti Pathak,gujarati garba
Jonas Blue,tropical house
Alesso,edm
Passenger,folk pop
Chamath Sangeeth,desi pop
Toshi,indian indie
Andro,Unknown
Taylor Cash,Unknown
U/NITISH,Unknown
Glass Animals,Unknown
Ryan Caraveo,Unknown
Marshmello,edm
Doja Cat,Unknown
AJR,Unknown
Zara Larsson,Unknown
Pav Dharia,punjabi pop
Giveon,r&b
SZA,r&b
Rae Sremmurd,Unknown
Juicy J,memphis rap
A Boogie Wit da Hoodie,melodic rap
Amar Arshi,bhangra
Tesher,Unknown
Future,rap
Christina Perri,soft pop
The Vamps,Unknown
Kygo,tropical house
Don Omar,reggaeton
Attaullah Esakhelvi,qawwali
Duncan Laurence,Unknown
Azaan Sami Khan,desi pop
Nikhil D'Souza,bollywood
Jass Manak,punjabi pop
Selena Gomez & The Scene,Unknown
Harnoor,punjabi pop
Gminxr,punjabi hip hop
Diljit Dosanjh,bhangra
Harrdy Sandhu,punjabi pop
Tegi Pannu,punjabi pop
Karan Aujla,punjabi pop
Talwiinder,punjabi hip hop
The PropheC,bhangra
Avicii,edm
SHAED,Unknown
Sajal Aly,Unknown
Kiran Waseem,Unknown
BILAL SAEED,punjabi pop
Rochak Kohli,bollywood
Mika Singh,bollywood
Unni Menon,tamil pop
Meet Bros Anjjan,bollywood
Falak Shabbir,bollywood
Javed Ali,sufi
Shaarib Toshi,bollywood
Hamza Ibrahim,desi hip hop
Darshan Raval,gujarati garba
Amrita Singh,bangla pop
Karan Sehmbi,hindi pop
Jasmine Sandlas,bhangra
Guri,punjabi pop
Saleem Shahzada,bollywood
Sohail Sen,bollywood
Neha Kakkar,bollywood
Yash Tiwari,Unknown
Pk Rajli,haryanvi pop
Armaan Malik,hindi pop
Dhvani Bhanushali,hindi pop
Ash King,bollywood
Naseebo Lal,sufi
Arif Lohar,sufi
Junaid Jamshed,qawwali
Arjan Dhillon,punjabi pop
Shah Farooq,Unknown
Mohammed Rafi,ghazal
Niazi Brothers,sufi
Tina Sani,ghazal
JANI,desi hip hop
Daniel Caesar,Unknown
PARTYNEXTDOOR,r&b
Chris Brown,r&b
Big Sean,Unknown
Brent Faiyaz,r&b
Tove Lo,Unknown
Juice WRLD,melodic rap
Entity Paradigm,desi
The Macarons Project,Unknown
Maggie Lindemann,Unknown
Dimitri Vangelis & Wyman,progressive house
Unknown Brain,Unknown
OneRepublic,soft pop
dvine,hindi hip hop
Hippie Sabotage,Unknown
Gryffin,edm
Gym Class Heroes,Unknown
Sam Fischer,Unknown
Jeremy Zucker,Unknown
Benson Boone,Unknown
Martin Garrix,edm
Alan Walker,Unknown
Jennifer Lopez,Unknown
Chord Overstreet,Unknown
MC Fioti,funk
Living Colour,funk rock
Seven Lions,melodic bass
Ryan Mack,Unknown
Dr. Dre,g-funk
Linkin Park,nu metal
NF,christian hip hop
Ahzee,Unknown
Tones And I,Unknown
Eminem,rap
Pitbull,Unknown
Rauf & Faik,Unknown
Sia,Unknown
Alex & Sierra,Unknown
blackbear,Unknown
Ruth B.,Unknown
Alec Benjamin,Unknown
Prezioso,italo dance
Lord Huron,Unknown
2 Chainz,rap
Samantha Jade,Unknown
Evanescence,alternative metal
XXXTENTACION,emo rap
The Strokes,garage rock
Ingratax,Unknown
Dj Vicky Belgaum,lo-fi
P!nk,Unknown
K-391,Unknown
Alisha Chinai,bollywood
Surinder Kaur,bhangra
Nirvair Pannu,punjabi pop
KSI,Unknown
Shubh,punjabi hip hop
J Trix,desi hip hop
FRENSHIP,Unknown
Ammy Virk,bhangra
Shawn Mendes,pop
Kyoresu,Unknown
Farasat Anees,desi hip hop
Masked Wolf,Unknown
benny blanco,Unknown
Calvin Harris,edm
omer inayat,bollywood
Aaron Smith,Unknown
Lil Tjay,brooklyn drill
Deep Jandu,punjabi pop
NAV,melodic rap
A$AP Ferg,rap
Don Toliver,Unknown
Jaden,Unknown
Metro Boomin,Unknown
Kali Uchis,Unknown
Mike Posner,Unknown
Major Lazer,moombahton
Sal Houdini,Unknown
Ava Max,Unknown
THE SCOTTS,Unknown
Serhat Durmus,Unknown
SLANDER,melodic bass
Raaban,Unknown
League of Legends,Unknown
Astrid S,norwegian pop
fun.,Unknown
Zedd,edm
Jassa Dhillon,punjabi pop
Arya Acharya,Unknown
Shakira,latin pop
Shae Gill,desi
Jawsh 685,Unknown
Akon,Unknown
Tony Kakkar,hindi pop
Neeraj Shridhar,bollywood
Faisal Kapadia,desi hip hop
ACV,vinahouse
Raiden,Unknown
Tashif,bangla pop
Jay Kava,lo-fi
Brown Munde,Unknown
Karakoram,desi hip hop
Prateek Kuhad,indian indie
KSW,lo-fi
Clinton Cerejo,bollywood
Payal Dev,bhajan
Shankar Mahadevan,bollywood
Salem Sandhu,Unknown
DJ Glory,bhajan
Silent Ocean,lo-fi
Deepanshu Ruhela,lo-fi
Sohan Rahman,bangla pop
Bollywood Boys,Unknown
Kishore Kumar,bangla pop
Ankush Rdb,punjabi pop
